Date,Product Output Price,Product Input Price,Earning
1-Aug,2900,1381,1519
2-Aug,6900,3172,3728
3/8/2017,6820,3855,2965
4/8/2017,9100,5242,3858
5/8/2017,7945,3072,4873
8-Jun,5820,2675,3145
7/8/2017,7430,3314,4116
8/8/2017,4700,2523,2177
9/8/2017,1630,670,960
8/10/2017,4200,2164,2036
11-Aug,9900,4885,5015
12-Aug,700,361,339
13-Aug,3390,1314,2076
14-Aug,8570,4489,4081
15-Aug,7980,4374,3606
16/8,3110,1336,1774
17/8,7150,3711,3439
18/8,5385,2377,3008
19/8,9140,4094,5046
20/8,14945,8213,6732
21-Aug,3485,1288,2197
22-Aug,3370,1494,1876
23-Aug,7520,3909,3611
24-Aug,4000,1926,2074
25-Aug,4540,2193,2347
26/8,5900,2857,3043
27-Aug,8200,4162,4038
28-Aug,3315,1420,1895
29-Aug,6980,3601,3379
30-Aug,21880,13884,7996
